modele_id,marque,marque_id,modele,nom_complet,nom_affichage,nom_fr,titre_fr,type_fr,prix_lancement_eur,prix_source,marche_fr,priorite,vues_60j,a_version_fr,nb_langues,titre_wikipedia,pays_origine,ecole,categorie,annee_debut,annee_fin,cylindree_cc,architecture,refroidissement,puissance_ch,puissance_kw,puissance_tr_min,couple_nm,couple_tr_min,poids_kg,poids_type,poids_sec_kg,poids_tous_pleins_kg,hauteur_selle_mm,empattement_mm,longueur_mm,largeur_mm,hauteur_mm,reservoir_l,vitesse_max_kmh,a2_compatible,a2_detail,moteur,alesage_course,compression,transmission,cadre,suspension,freins,pneus,consommation,predecesseur,successeur,aussi_appele,image_url,wikidata_id,url_wikipedia,url_wikipedia_fr,source_specs_fr,image_vignette,image_licence,image_auteur,image_page,image_utilisable,resume_fr,production_raw,completude_pct,alertes,source
brammo-enertia,,,Brammo Enertia Powercycle,Brammo Enertia Powercycle,Brammo Enertia Powercycle,,,,,,non,30.0,0,non,0,Brammo Enertia,,,Roadster,2009,2017,,,,,,4500,,,177.0,tous pleins faits,146.96,177.0,812.8,1422.4,2070.1,,,,96.56,,,Permanent magnet AC Synchronous motor,,,Single speed direct chain drive,,"Front: Telescopic 45 mm Marzocchi fork, 5 in travel / Rear: Elka Coil Over Shock, 5 in travel",Front and rear Brembo disc,Front 100/90-18 Avon RoadRider; Rear 120/80-17 Avon RoadRider,,,,,,Q4956200,https://en.wikipedia.org/wiki/Brammo_Enertia,,,,,,,inconnu,,2009-2017,60,largeur_mm=317.5 hors [400-1200],Wikipedia EN (CC BY-SA 4.0)
kirby-bsa-sidecar-outfit,BSA,bsa,Kirby BSA sidecar outfit,BSA Kirby BSA sidecar outfit,BSA Kirby BSA sidecar outfit,,,,,,oui,29.5,0,non,1,Kirby BSA sidecar outfit,Royaume-Uni,britannique,,1965,1966,654.0,,Air,54.8,40.27,6900,,,,,,,,,,,,,,non,puissance > 35 kW,"654 cc air cooled four stroke, parallel twin, OHV, 2 valves per cylinder, 2 Amal 10GP2 carburettors, five pints of oil",75 × 74 mm,,"4-speed, chain drive","Steel tubing, cradle, adjusted to accommodate sidecar",Telescopic forks with coil spring – hydraulically damped (front) / Coil spring/hydraulically damped (rear),,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2f/BSA_Kirby_654cc_%289239699264%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q95993974,https://en.wikipedia.org/wiki/Kirby_BSA_sidecar_outfit,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/BSA_Kirby_654cc_%289239699264%29.jpg/960px-BSA_Kirby_654cc_%289239699264%29.jpg,CC BY 2.0,andy carter from England,https://commons.wikimedia.org/wiki/File:BSA_Kirby_654cc_(9239699264).jpg,oui,,1965–1966,33,,Wikipedia EN (CC BY-SA 4.0)
brough-superior-golden-dream,Brough Superior,brough-superior,Brough Superior Golden Dream,Brough Superior Golden Dream,Brough Superior Golden Dream,,,,,,oui,29.5,0,non,1,Brough Superior Golden Dream,Royaume-Uni,britannique,Roadster,1938,1939,996.0,,,,,,,,,,,,,1473.2,,,,,,,,996 cc Four cylinder (doubly opposed) OHV,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Brough_Superior_Golden_Dream_NMM.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q4975770,https://en.wikipedia.org/wiki/Brough_Superior_Golden_Dream,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Brough_Superior_Golden_Dream_NMM.jpg/960px-Brough_Superior_Golden_Dream_NMM.jpg,CC BY-SA 4.0,Nimbus227,https://commons.wikimedia.org/wiki/File:Brough_Superior_Golden_Dream_NMM.jpg,oui,,1938–1939,33,,Wikipedia EN (CC BY-SA 4.0)
honda-crf250l,Honda,honda,CRF250L,Honda CRF250L,Honda CRF250L,,,,,,oui,29.5,0,non,1,Honda CRF250L,Japon,japonaise,Trail / Aventure,,,249.6,Monocylindre,Liquide,,,,,,,,,,,,,,,,128.75,,,249.6 cc liquid-cooled 4-stroke 4-valve DOHC single,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/06/Honda_CRF250L.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q16978588,https://en.wikipedia.org/wiki/Honda_CRF250L,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Honda_CRF250L.jpg/960px-Honda_CRF250L.jpg,CC BY-SA 3.0,Takoyashi,https://commons.wikimedia.org/wiki/File:Honda_CRF250L.jpg,oui,,20122020,33,,Wikipedia EN (CC BY-SA 4.0)
triumph-twenty-one,Triumph Engineering,triumph-engineering,Triumph Twenty One,Triumph Twenty One,Triumph Twenty One,,,,,,oui,29.5,0,non,1,Triumph Twenty One,Royaume-Uni,britannique,Roadster,1957,1966,349.0,,Air,,,,,,,,,,,,,,,,,,,"349 cc, air-cooled, four-stroke, twin",,,"Four-speed, chain final drive",,,,,,,,"T21, Twenty One, 'Bathtub'",https://upload.wikimedia.org/wikipedia/commons/9/9e/1958_Triumph_Twenty_One_01.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q2198060,https://en.wikipedia.org/wiki/Triumph_Twenty_One,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/1958_Triumph_Twenty_One_01.jpg/960px-1958_Triumph_Twenty_One_01.jpg,CC BY 2.0,Mike Schinkel,https://commons.wikimedia.org/wiki/File:1958_Triumph_Twenty_One_01.jpg,oui,,1957–1966,33,,Wikipedia EN (CC BY-SA 4.0)
mitsubishi-silver-pigeon,Mitsubishi Motors,mitsubishi-motors,Silver Pigeon C-10,Mitsubishi Silver Pigeon C-10,Mitsubishi Silver Pigeon C-10,,,,,,non,29.4,0,non,5,Mitsubishi Silver Pigeon,Japon,japonaise,Scooter / Cyclomoteur,1946,1963,112.0,Monocylindre,Air,1.5,1.12,,,,70.0,à sec,70.0,,,935.0,1550.0,560.0,1010.0,,,oui,"1.1 kW, 0.016 kW/kg","112 cm3 4-stroke, SV / air-cooled, single-cylinder",57 × 44 mm,,Automatic belt-type CVT,,,,3.50-7 (rear),,,,,https://upload.wikimedia.org/wikipedia/commons/a/a6/Mitsubishi_Silver_Pigeon.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q1353072,https://en.wikipedia.org/wiki/Mitsubishi_Silver_Pigeon,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Mitsubishi_Silver_Pigeon.jpg/960px-Mitsubishi_Silver_Pigeon.jpg,CC BY-SA 4.0,Tartanperil,https://commons.wikimedia.org/wiki/File:Mitsubishi_Silver_Pigeon.jpg,oui,,1946–1963,67,,Wikipedia EN (CC BY-SA 4.0)
sym-dd50,,,SYM DD50,SYM DD50,SYM DD50,,,,,,non,29.4,0,non,3,SYM DD50,,,Scooter / Cyclomoteur,,,49.0,Monocylindre,Air,,,,,,80.0,à sec,80.0,,,1155.0,1660.0,630.0,1020.0,6.1,,,,"49 cc; 2-stroke auto-lub, air-cooled, single",39.0 × 41.4 mm,,Continuously variable automatic transmission (CVT),,"Telescopic fork (Front), single sided (rear)",Front; disc: rear drum,10-inch (front and rear),,,,Jolie / City Trek,https://upload.wikimedia.org/wikipedia/commons/2/21/SYM_Jolie.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q17125933,https://en.wikipedia.org/wiki/SYM_DD50,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/SYM_Jolie.JPG/960px-SYM_Jolie.JPG,CC BY-SA 3.0,Samihasib,https://commons.wikimedia.org/wiki/File:SYM_Jolie.JPG,oui,,,67,,Wikipedia EN (CC BY-SA 4.0)
ajs-model-d,AJS,ajs,AJS Model D,AJS Model D,AJS Model D,,,,,,oui,29.0,0,non,1,AJS Model D,Royaume-Uni,britannique,,,,748.0,V-twin,,6.1,4.47,,,,125.19,à sec,125.19,,,,,,,,,oui,"4.5 kW, 0.036 kW/kg",748 cc side valve V-Twin,,,chain to three-speed countershaft gearbox.,,,,,,,AJS Model E,,https://upload.wikimedia.org/wikipedia/commons/4/4f/AJS_1920_D_1.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q4652081,https://en.wikipedia.org/wiki/AJS_Model_D,,,https://upload.wikimedia.org/wikipedia/commons/4/4f/AJS_1920_D_1.jpg,CC BY-SA 3.0,Piero at Dutch Wikipedia,https://commons.wikimedia.org/wiki/File:AJS_1920_D_1.jpg,oui,,,40,,Wikipedia EN (CC BY-SA 4.0)
bsa-unit-twins,BSA,bsa,BSA unit twins,BSA unit twins,BSA unit twins,,,,,,oui,29.0,0,non,0,BSA unit twins,Royaume-Uni,britannique,,1962,1972,500.0,,Air,,,,,,,,,,,1371.6,,,,,,,,500 cc / 654 cc / 751 cc / air-cooled OHV twin,500: 65.5 × 74 mm / 650: 75 × 74 mm / 750: 75 × 85 mm,,"Triplex primary chain, 4 speed gearbox",Half-duplex cradle,,"7""/8"" drum front / 7"" drum rear / 8"" 2ls drum 1968 on",,,BSA A7/A10,,,https://upload.wikimedia.org/wikipedia/commons/1/10/BSA_A65C_Rocket_%281964%29_-_15752700306.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q55604631,https://en.wikipedia.org/wiki/BSA_unit_twins,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/BSA_A65C_Rocket_%281964%29_-_15752700306.jpg/960px-BSA_A65C_Rocket_%281964%29_-_15752700306.jpg,CC BY 2.0,SG2012,https://commons.wikimedia.org/wiki/File:BSA_A65C_Rocket_(1964)_-_15752700306.jpg,oui,,1962–1972,40,,Wikipedia EN (CC BY-SA 4.0)
honda-ct90,Honda,honda,CT90,Honda CT90,Honda CT90,,,,,,oui,29.0,0,non,0,Honda CT90,Japon,japonaise,Roadster,1966,1966,89.0,Monocylindre,Air,,,,,,,,,,,,,,,,,,,89 cc 4-stroke air-cooled single,,,"4-speed, automatic clutch",Stamped steel,Leading link (1966–68) or telescoping fork (1969–79),,,c. 100 mpgus,CT200,CT110,,https://upload.wikimedia.org/wikipedia/commons/f/f3/1972_Honda_trail_90.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q15098698,https://en.wikipedia.org/wiki/Honda_CT90,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/1972_Honda_trail_90.jpg/960px-1972_Honda_trail_90.jpg,CC BY-SA 3.0,Brayden Richards,https://commons.wikimedia.org/wiki/File:1972_Honda_trail_90.jpg,oui,,1966–79,40,,Wikipedia EN (CC BY-SA 4.0)
base-50,Honda,honda,Honda 50cc engine,Honda 50cc engine,Honda 50cc engine,,,,,,oui,29.0,0,non,0,Base 50,Japon,japonaise,Scooter / Cyclomoteur,1958,,49.0,Monocylindre,Air,,,,,,,à sec,2.0,,,,,,,,,,,Horizontal 49 – 4-stroke air-cooled single,,,3- or 4-speed automated manual with wet multi-plate centrifugal clutch,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d0/Honda_super_cub%2C_1st_Gen._1958%2C_Left_side.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q96373194,https://en.wikipedia.org/wiki/Base_50,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Honda_super_cub%2C_1st_Gen._1958%2C_Left_side.jpg/960px-Honda_super_cub%2C_1st_Gen._1958%2C_Left_side.jpg,CC BY-SA 3.0,Mj-bird,"https://commons.wikimedia.org/wiki/File:Honda_super_cub,_1st_Gen._1958,_Left_side.jpg",oui,,1958-present,40,poids_kg=2.0 hors [30-500],Wikipedia EN (CC BY-SA 4.0)
honda-cb450dx-k,Honda,honda,Honda CB450DX,Honda CB450DX,Honda CB450DX,,,,,,oui,29.0,0,non,0,Honda CB450DX-K,Japon,japonaise,Roadster,1989,1992,447.0,,Air,,,,,,,,,,,,,,,,,,,"447 cc, air-cooled, SOHC six valve parallel twin",75 × 50.6 mm,,"6-speed manual, chain final drive",,,Disc front and rear,,,Honda CB400N,Honda CB500 twin,,https://upload.wikimedia.org/wikipedia/commons/c/ce/Honda_CB450N%2C_rear_side_view_%28Stockholm%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q5892218,https://en.wikipedia.org/wiki/Honda_CB450DX-K,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Honda_CB450N%2C_rear_side_view_%28Stockholm%29.jpg/960px-Honda_CB450N%2C_rear_side_view_%28Stockholm%29.jpg,CC BY-SA 3.0,Mr.choppers,"https://commons.wikimedia.org/wiki/File:Honda_CB450N,_rear_side_view_(Stockholm).jpg",oui,,1989–1992,40,,Wikipedia EN (CC BY-SA 4.0)
honda-cd175,Honda,honda,Honda CD175,Honda CD175,Honda CD175,,,,,,oui,29.0,0,non,1,Honda CD175,Japon,japonaise,Roadster,1967,1979,174.0,,Air,,,,,,,,,,,,,,,,,,,"174 cc air cooled, inclined twin, centrifugal oil filter",,9:1,"Four-speed manual, fully enclosed chain final drive",Pressed steel spine,Front; telescopic / Rear; swingarm twin shock absorber,Drum front and rear,,,,Honda CD200 RoadMaster,,https://upload.wikimedia.org/wikipedia/commons/c/c9/Honda_CD175_1969_kinsarvik_modified.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q5892285,https://en.wikipedia.org/wiki/Honda_CD175,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Honda_CD175_1969_kinsarvik_modified.JPG/960px-Honda_CD175_1969_kinsarvik_modified.JPG,CC BY 2.0,kinsarvik,https://commons.wikimedia.org/wiki/File:Honda_CD175_1969_kinsarvik_modified.JPG,oui,,1967–1979,40,,Wikipedia EN (CC BY-SA 4.0)
honda-rc162,Honda,honda,Honda RC162,Honda RC162,Honda RC162,,,,,,oui,29.0,0,non,0,Honda RC162,Japon,japonaise,,1961,1961,249.0,,Air,40.6,29.83,14000,,,,,,,,,,,,,,à vérifier,poids inconnu,249 cc air cooled DOHC inline 4,44 × 41 mm,10.5:1,"Multi-plate dry clutch, 6 speed gearbox, chain drive",Open double loop,F: telescopic forks / R: swinging arm,Drum brakes front & rear,,,Honda RC161,Honda RC163,,https://upload.wikimedia.org/wikipedia/commons/1/1c/Honda_RC162.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q140026856,https://en.wikipedia.org/wiki/Honda_RC162,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Honda_RC162.jpg/960px-Honda_RC162.jpg,CC BY-SA 2.0 de,de:Benutzer:Pessottino,https://commons.wikimedia.org/wiki/File:Honda_RC162.jpg,oui,,1961,40,,Wikipedia EN (CC BY-SA 4.0)
honda-rc164,Honda,honda,Honda RC164,Honda RC164,Honda RC164,,,,,,oui,29.0,0,non,0,Honda RC164,Japon,japonaise,,1964,1964,249.0,,Air,48.7,35.79,14000,,,,,,,,,,,,,,non,puissance > 35 kW,249 cc air cooled DOHC inline 4,44 × 41 mm,,"Multi-plate dry clutch, 6 speed gearbox, chain drive",Open double loop,F: telescopic forks / R: swinging arm,Drum brakes front & rear,,,Honda RC163,Honda RC165,,https://upload.wikimedia.org/wikipedia/commons/5/59/Honda_RC164_%2814559756712%29_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,Q140157514,https://en.wikipedia.org/wiki/Honda_RC164,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Honda_RC164_%2814559756712%29_%28cropped%29.jpg/960px-Honda_RC164_%2814559756712%29_%28cropped%29.jpg,CC BY-SA 2.0,"Nic Redhead from Birmingham, UK",https://commons.wikimedia.org/wiki/File:Honda_RC164_(14559756712)_(cropped).jpg,oui,,1964,40,,Wikipedia EN (CC BY-SA 4.0)
kawasaki-c2,Kawasaki,kawasaki,Kawasaki C2SS and C2TR,Kawasaki C2SS and C2TR,Kawasaki C2SS and C2TR,,,,,,oui,29.0,0,non,0,Kawasaki C2,Japon,japonaise,Trail / Aventure,1964,1969,100.0,Rotatif,Air,,,,,,,,,,,1160.78,1811.02,518.16,,,,,,"Air-cooled 100cc, single cylinder, two stroke, rotary disc valve",,,"Chain driven 4-speed, constant mesh, rotary shift. Kick start.",,"Inner spring telescopic front fork, spring shock absorber and swing arm (rear)",,,,,G4TR Trail Boss,Road Runner,,Q6379741,https://en.wikipedia.org/wiki/Kawasaki_C2,,,,,,,inconnu,,1964-1969,40,,Wikipedia EN (CC BY-SA 4.0)
